id,username,followers, following, location
1278450204,VictorGIM7,1719,800,Coronel Oviedo - Paraguay
1027017800,ijosecoronel,1945,816,Paraguay
426639138,AndreeaGamarra,1240,1036,Asunción - Paraguay 
840550525,maricar_gayoso,1732,1071,
833995615,antoo_aguero,767,903,Paraguay
247476814,LuisGz05,2375,2121,Coronel Oviedo
335341148,MeliRoman01,2184,1562,Asuncion, Paraguay
1098513414,sanstacruz,416,458,CoronelOviedo
303447452,ejma1_,582,854,
460529228,AnthoLugo,498,287,Cnel. Oviedo Paraguay
900259135,SoCulturalONG,127,196,Coronel Oviedo - Ajós
261673406,fabri_pindu,497,736,Coronel Oviedo, Paraguay
345694185,karenbrizl,784,335,Paraguay
268356203,ClaraMonserraat,772,548,Coronel Oviedo - Paraguay
846630128,JessyGonzd,465,379,Cnel. Oviedo
216647059,Uncawill,694,1160,Cnel Oviedo
382243589,fisiounca,546,1937,Cnel. Oviedo_ Paraguay
491051842,Luistaz12,277,226,
326947164,AnnaOrtiz08,2305,2134,Fernando de la mora..
140898930,DerlisOlmedo,4702,4881,
612005958,BethaniaUrbieta,266,251,
371927109,CalcenaGuada,4079,2254,Coronel Oviedo, Paraguay
849429456,JuannyMar1,647,561,Coronel Oviedo
393606985,marihelnetto,631,752,Ñemby-Paraguay
632408612,evearias3,374,744,Coronel Oviedo
225147649,JorgeLo92,521,448,coronel oviedo - py
339854002,Diana_DGarcia,1241,1011,Coronel Oviedo, Paraguay
1184149752,RommyMm,227,326,
486155204,Taticen97,1155,562,
255349934,lemaiphone,329,1439,NYC 
218989244,PameVerdun,1016,621,Coronel oviedo
774643746,RaquelSam92,863,255,
1115395220,natybenitez_,345,464,Coronel Oviedo - Paraguay
574113647,CDZorrilla,528,356,
1110760081,Romero_Kareen,915,528,
1099669454,BomCarnavalCO,223,918,
962403336,hugonzalez_90,176,279,
485112607,BarretoNatii,1040,358,Canindeyu, Paraguay
600463617,kaaho97,1736,841,katuete - Paraguay 
213317262,Andy_Alvrz,437,657,paraguay
375373194,JorgeGimenezB,471,323,CORONEL OVIEDO - PARAGUAY
181625872,bidiaanalia,604,901,Coronel Oviedo, Paraguay
968102558,Josegonzaits,322,406,Coronel Oviedo
416238798,kgodoyanika,2491,2341,
851969630,GisselleCrdenas,1195,815,Coronel Oviedo, Paraguay
340524171,RafaRivas2,486,600,coronel oviedo
324595342,eidy_vences,159,926,mexico city
595022644,Tama1462,436,320,Coronel Oviedo - Paraguay
